dealer,player,handtype,action,Q-value
5, 15, 0, 0, 2856.2160745279643
5, 15, 0, 1, 2947.1940077401105
5, 15, 1, 0, 2308.7144729062356
5, 15, 1, 1, 1272.1804051619533
5, 16, 0, 0, 2819.4663596407095
5, 16, 0, 1, 2876.084829504113
5, 16, 1, 0, 2306.6069657768303
5, 16, 1, 1, 1034.125288993296
5, 17, 0, 0, 2830.208475454305
5, 17, 0, 1, 2888.034459984954
5, 17, 1, 0, 2433.974114198378
5, 17, 1, 1, 844.3485083171356
5, 18, 0, 0, 3383.09513290481
5, 18, 0, 1, 3081.173299969422
5, 18, 1, 0, 3420.6567406914687
5, 18, 1, 1, 614.8790996064415
5, 19, 0, 0, 4433.528158953859
5, 19, 0, 1, 3271.729808306088
5, 19, 1, 0, 4435.313523978332
5, 19, 1, 1, 291.66974969677796
5, 20, 0, 0, 5368.495939327284
5, 20, 0, 1, 3419.5202431157836
5, 20, 1, 0, 5315.061030104523
5, 20, 1, 1, -86.27894852423954
5, 21, 0, 0, 6252.432068135008
5, 21, 0, 1, 2234.9998384442924
5, 21, 1, 0, 700.0
5, 21, 1, 1, 0.0
5, 22, 0, 0, -100.0
5, 22, 0, 1, -100.0
5, 22, 1, 0, -100.0
5, 22, 1, 1, -100.0
6, 0, 0, 0, 0.0
6, 0, 0, 1, 0.0
6, 0, 1, 0, 0.0
6, 0, 1, 1, 0.0
6, 1, 0, 0, 0.0
6, 1, 0, 1, 0.0
6, 1, 1, 0, 0.0
6, 1, 1, 1, 0.0
6, 2, 0, 0, 0.0
6, 2, 0, 1, 0.0
6, 2, 1, 0, 0.0
6, 2, 1, 1, 0.0
6, 3, 0, 0, 0.0
6, 3, 0, 1, 0.0
6, 3, 1, 0, 0.0
6, 3, 1, 1, 0.0
6, 4, 0, 0, 0.0
6, 4, 0, 1, 0.0
6, 4, 1, 0, 2248.203053853545
6, 4, 1, 1, 2328.118001141346
6, 5, 0, 0, 0.0
6, 5, 0, 1, 0.0
6, 5, 1, 0, 2344.4152284287925
6, 5, 1, 1, 2346.783254585368
6, 6, 0, 0, 0.0
6, 6, 0, 1, 0.0
6, 6, 1, 0, 2374.1241309517336
6, 6, 1, 1, 2354.6644890507
6, 7, 0, 0, 0.0
6, 7, 0, 1, 0.0
6, 7, 1, 0, 2410.662518341128
6, 7, 1, 1, 2411.4465249308078
6, 8, 0, 0, 0.0
6, 8, 0, 1, 0.0
6, 8, 1, 0, 2771.5415816210902
6, 8, 1, 1, 2802.3235770757874
6, 9, 0, 0, 0.0
6, 9, 0, 1, 0.0
6, 9, 1, 0, 3021.5721937510853
6, 9, 1, 1, 3109.3038545490176
6, 10, 0, 0, 0.0
6, 10, 0, 1, 0.0
6, 10, 1, 0, 3482.8083070860566
6, 10, 1, 1, 3640.240249330341
6, 11, 0, 0, 0.0
6, 11, 0, 1, 0.0
6, 11, 1, 0, 2450.2730983140045
6, 11, 1, 1, 2359.8893735512
6, 12, 0, 0, 2938.329815187467
6, 12, 0, 1, 3168.057754806918
6, 12, 1, 0, 2339.6539110401054
6, 12, 1, 1, 1826.6840314971275
6, 13, 0, 0, 3031.9724126156584
6, 13, 0, 1, 3101.1588750381106
6, 13, 1, 0, 2425.5313681857883
6, 13, 1, 1, 1630.0876245495554
6, 14, 0, 0, 2993.450765618306
6, 14, 0, 1, 3058.522063410514
6, 14, 1, 0, 2371.771137814092
6, 14, 1, 1, 1558.8997847165294
6, 15, 0, 0, 2946.2913059640514
6, 15, 0, 1, 3035.819155098109
6, 15, 1, 0, 2349.0808401814406
6, 15, 1, 1, 1389.1290387147444
6, 16, 0, 0, 2938.481322172328
6, 16, 0, 1, 3011.976495813341
6, 16, 1, 0, 2419.3904220823006
6, 16, 1, 1, 1099.8670771637414
6, 17, 0, 0, 2946.078867875897
6, 17, 0, 1, 2963.364022584823
6, 17, 1, 0, 2537.6521221257367
6, 17, 1, 1, 930.7648819040944
6, 18, 0, 0, 3785.9467333427024
6, 18, 0, 1, 3231.544386338184
6, 18, 1, 0, 3795.204966746972
6, 18, 1, 1, 689.355796491235
6, 19, 0, 0, 4655.337398943671
6, 19, 0, 1, 3449.8742476899624
6, 19, 1, 0, 4663.60064497624
6, 19, 1, 1, 333.60118564232437
6, 20, 0, 0, 5541.09027107803
6, 20, 0, 1, 3615.0755635619885
6, 20, 1, 0, 5518.6736669167485
6, 20, 1, 1, -85.14344106889077
6, 21, 0, 0, 6324.971703241943
6, 21, 0, 1, 2360.087601917669
6, 21, 1, 0, 700.0
